RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO
RA-679;FASE 1;1J;;;;Masculino;2020;Pública;Ametista;Ametista;Ametista;7,172;;;;3,0;Avaliador-19;;Avaliador-4;;Avaliador-2;;;;7,5;7,5;5,02;;3,6;;;;;;7,393333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,138366667;Agata;Aluno-679;3/16/2012;11;6,875;2,0;5,2;;-1,0;;;;;;;;;;7,172;1;Bom;Bom;Bom;Médio;Médio;Baixo;Bom;Médio;Defasado;3,9;3,9;1,875;6,314722222166666;1;3;;0,9055004978029317;Psico abaixo de 7;1
RA-772;FASE 1;1N;;;;Masculino;2021;Pública;;Quartzo;Ágata;6,994;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;0,0;7,2;7,52;;4,8;;;;;;8,003333333;5,0;Fase 3 (7° e 8° ano);;;;;2023;5,930166667;Quartzo;Aluno-772;7/22/2011;12;6,875;5,2;4,3;;-2,0;;;;;;;;;;6,994;1;Médio;Baixo;Bom;Bom;Médio;Baixo;Bom;Médio;Defasado;-4,8;2,4000000000000004;1,875;5,733055555499999;2;3;;0,9009286359649219;Psico abaixo de 7;1
RA-1049;FASE 1;1H;;;;Masculino;2023;Pública;;;;;;;;3,0;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;10,0;7,7;7,52;;6,3;;;;;;7,943333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,443366667;Ametista;Aluno-1049;6/17/2013;10;8,125;5,5;7,0;;-1,0;;;;;;;;;;7,443366667;1;Bom;Excelente;Bom;Bom;Bom;Médio;Bom;Médio;Defasado;3,7;1,4000000000000004;3,125;7,931388888833332;0;1;;0,8948772015521166;Misto;1
RA-570;FASE 1;1H;;;;Feminino;2019;Pública;Topázio;Ágata;Quartzo;5,722;;;;3,0;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8,5;7,3;3,77;;5,9;;;;;;8,056666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,781033333;Agata;Aluno-570;2012-03-01 00:00:00;1900-01-11 00:00:00;8,125;5,7;6,0;;-1,0;;;;;;;;;;5,722;1;Médio;Excelente;Bom;Baixo;Bom;Médio;Bom;Médio;Defasado;2,5999999999999996;1,3999999999999995;3,125;6,9419444445;1;2;;0,8945275008548107;Psico abaixo de 7;1
RA-594;FASE 1;1L;;;;Masculino;2022;Pública;;;Ametista;7,392;;;;3,0;Avaliador-19;;Avaliador-4;;Avaliador-2;;;;8,5;7,1;6,27;;5,8;;;;;;7,336666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,702033333;Agata;Aluno-594;8/28/2012;11;6,875;6,2;5,3;;-1,0;;;;;;;;;;7,392;1;Bom;Excelente;Bom;Médio;Médio;Médio;Bom;Médio;Defasado;2,7;1,2999999999999998;1,875;6,980277777833333;0;3;;0,8939659880349391;Psico abaixo de 7;1
RA-1041;FASE 1;1F;;;;Feminino;2023;Pública;;;;;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;10,0;7,2;7,52;;3,3;;;;;;8,003333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,724116667;Agata;Aluno-1041;4/20/2013;10;7,8125;1,8;4,7;;-1,0;;;;;;;;;;6,724116667;1;Médio;Excelente;Bom;Bom;Bom;Baixo;Bom;Médio;Defasado;6,7;3,9000000000000004;2,8125;7,305972222166666;1;1;;0,8923685633026723;Misto;1
RA-776;FASE 1;1K;;;;Feminino;2022;Privada - Programa de Apadrinhamento;;;Quartzo;3,898;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;0,0;7,0;7,52;;3,5;;;;;;7,223333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;5,567916667;Quartzo;Aluno-776;2013-02-06 00:00:00;1900-01-10 00:00:00;7,8125;4,2;2,7;;-1,0;;;;;;;;;;3,898;1;Baixo;Baixo;Bom;Bom;Bom;Baixo;Bom;Médio;Defasado;-3,5;3,5;2,8125;5,5093055555;2;2;;0,8920115244398448;Misto;1
RA-549;FASE 1;1J;;;;Masculino;2021;Pública;;Ametista;Ágata;6,301;;;;3,0;Avaliador-19;;Avaliador-4;;Avaliador-2;;;;9,5;8,1;5,02;;6,4;;;;;;7,5;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,0297;Ametista;Aluno-549;2012-07-05 00:00:00;1900-01-11 00:00:00;6,875;5,5;7,2;;-1,0;;;;;;;;;;6,301;1;Médio;Excelente;Bom;Médio;Médio;Médio;Bom;Médio;Defasado;3,0999999999999996;1,6999999999999993;1,875;7,232500000000001;0;3;;0,8893397296468427;Psico abaixo de 7;1
RA-703;ALFA;ALFA T - G2/G3;;;;Masculino;2021;Pública;;Quartzo;Ágata;6,099;;;;2,0;Avaliador-13;;Avaliador-3;;;;;;9,5;8,4;3,14;;4,6;;;;;;6,16;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,2737;Agata;Aluno-703;6/25/2012;11;6,875;4,8;4,3;;-2,0;;;;;;;;;;6,099;1;Médio;Excelente;Bom;Baixo;Médio;Baixo;Médio;Médio;Defasado;4,9;3,8000000000000007;1,875;6,445833333333333;2;4;;0,8873354199573344;Psico abaixo de 7;1
RA-1069;FASE 1;1P;;;;Masculino;2023;Pública;;;;;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;9,0;7,8;7,52;;7,1;;;;;;8,226666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,590033333;Ametista;Aluno-1069;9/18/2012;11;8,125;7,5;6,7;;-1,0;;;;;;;;;;7,590033333;1;Bom;Excelente;Bom;Bom;Bom;Bom;Bom;Médio;Defasado;1,9000000000000004;0,7000000000000002;3,125;7,961944444500001;0;0;;0,8843716883807872;Todos >= 7;1
